Race_group,Race,Wave_label,this_datetime,loop_dist,num_skiers
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:31:00Z,0.3,48
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:31:00Z,0.2,16
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:32:00Z,0.6,48
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:32:00Z,0.5,16
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:32:00Z,0.2,65
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:33:00Z,1,3
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:33:00Z,0.9,45
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:33:00Z,0.8,16
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:33:00Z,0.5,65
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:33:00Z,0.2,65
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:34:00Z,1.3,3
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:34:00Z,1.2,45
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:34:00Z,1.1,16
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:34:00Z,0.8,65
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:34:00Z,0.5,65
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:34:00Z,0.2,65
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:35:00Z,1.6,5
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:35:00Z,1.5,43
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:35:00Z,1.4,16
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:35:00Z,1.1,65
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:35:00Z,0.8,65
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:35:00Z,0.5,65
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:35:00Z,0.2,49
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:36:00Z,2,3
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:36:00Z,1.9,3
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:36:00Z,1.8,42
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:36:00Z,1.7,16
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:36:00Z,1.4,65
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:36:00Z,1.1,55
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:36:00Z,1,10
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:36:00Z,0.8,23
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:36:00Z,0.7,42
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:36:00Z,0.5,14
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:36:00Z,0.4,35
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:37:00Z,2.3,3
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:37:00Z,2.2,4
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:37:00Z,2.1,41
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:37:00Z,2,16
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:37:00Z,1.7,56
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:37:00Z,1.6,9
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:37:00Z,1.4,12
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:37:00Z,1.3,53
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:37:00Z,1,65
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:37:00Z,0.7,34
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:37:00Z,0.6,15
BIRKIE SKATE,BIRKIE SKATE,04 W1 BS,2024-02-24T07:38:00Z,2.7,1
